846,461,9
269,46,9
705,287,9
618,790,9
347,311,9
403,474,9
74,60,9
688,678,9
813,643,9
45,529,9
16,299,9
995,619,9
397,307,9
187,498,9
551,637,9
700,346,9
525,209,9
280,17,9
403,713,9
282,244,9
209,652,9
96,611,9
935,176,9
294,585,9
797,686,9
213,463,9
915,346,9
613,488,9
587,553,9
999,390,9
885,307,9
267,456,9
796,59,9
406,93,9
673,464,9
365,751,9
95,29,9
24,10,9
240,512,9
731,783,9
356,138,9
745,493,9
270,703,9
344,608,9
148,319,9
462,347,9
501,230,9
541,6,9
238,572,9
177,784,9
212,435,9
278,739,9
433,343,9
308,717,9
392,541,9
802,173,9
292,758,9
990,753,9
385,461,9
989,280,9
