846,461,12
269,46,12
705,287,12
618,790,12
347,311,12
403,474,12
74,60,12
688,678,12
813,643,12
45,529,12
16,299,12
995,619,12
397,307,12
187,498,12
551,637,12
700,346,12
525,209,12
280,17,12
403,713,12
282,244,12
209,652,12
96,611,12
935,176,12
294,585,12
797,686,12
213,463,12
915,346,12
613,488,12
587,553,12
999,390,12
885,307,12
267,456,12
796,59,12
406,93,12
673,464,12
365,751,12
95,29,12
24,10,12
240,512,12
731,783,12
356,138,12
745,493,12
270,703,12
344,608,12
148,319,12
462,347,12
501,230,12
541,6,12
238,572,12
177,784,12
212,435,12
278,739,12
433,343,12
308,717,12
392,541,12
802,173,12
292,758,12
990,753,12
385,461,12
989,280,12
936,501,12
535,634,12
820,589,12
274,669,12
860,212,12
939,261,12
133,676,12
639,445,12
793,77,12
968,238,12
767,385,12
502,508,12
849,167,12
345,259,12
293,402,12
654,580,12
319,437,12
261,89,12
31,55,12
282,553,12
860,589,12
532,572,12
372,18,12
84,152,12
59,383,12
144,536,12
775,711,12
218,61,12
