846,461,18
269,46,18
705,287,18
618,790,18
347,311,18
403,474,18
74,60,18
688,678,18
813,643,18
45,529,18
16,299,18
995,619,18
397,307,18
187,498,18
551,637,18
700,346,18
525,209,18
280,17,18
403,713,18
282,244,18
209,652,18
96,611,18
935,176,18
294,585,18
797,686,18
213,463,18
915,346,18
613,488,18
587,553,18
999,390,18
885,307,18
267,456,18
796,59,18
406,93,18
673,464,18
365,751,18
95,29,18
24,10,18
240,512,18
731,783,18
356,138,18
745,493,18
270,703,18
344,608,18
148,319,18
462,347,18
501,230,18
541,6,18
238,572,18
177,784,18
212,435,18
278,739,18
433,343,18
308,717,18
392,541,18
802,173,18
292,758,18
990,753,18
385,461,18
989,280,18
936,501,18
535,634,18
820,589,18
274,669,18
860,212,18
939,261,18
133,676,18
639,445,18
793,77,18
968,238,18
767,385,18
502,508,18
849,167,18
345,259,18
293,402,18
654,580,18
319,437,18
261,89,18
31,55,18
282,553,18
860,589,18
532,572,18
372,18,18
84,152,18
59,383,18
144,536,18
775,711,18
218,61,18
